Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score
23,84,7,73,0,3,67
19,64,8,59,2,4,61
24,98,7,91,2,4,74
29,89,8,98,1,4,71
19,92,6,65,3,4,70
19,88,8,89,3,3,71
29,84,7,68,1,2,67
25,78,6,50,1,2,66
17,94,6,80,0,1,69
23,98,8,71,0,5,72
17,80,8,88,4,4,68
17,97,6,87,2,2,71
21,83,8,97,2,4,70
9,82,8,72,2,3,66
10,78,8,74,1,4,65
17,68,8,70,2,4,64
14,60,10,65,0,3,60
22,70,6,82,1,3,65
15,80,9,91,3,2,67
12,75,7,58,3,4,66
29,78,5,99,0,1,69
19,99,6,84,1,3,72
20,74,8,89,1,2,66
11,78,8,100,1,3,66
17,65,5,75,2,3,63
21,62,6,54,0,3,64
13,91,6,90,1,2,65
22,83,6,94,0,2,71
16,90,4,58,1,3,66
18,66,4,51,2,2,64
16,83,6,57,0,4,63
31,70,7,66,1,3,69
20,69,8,96,2,3,67
14,60,5,50,2,3,61
25,65,5,90,2,3,68
13,72,6,93,1,3,61
21,65,7,91,2,3,64
8,99,9,54,2,5,67
12,72,8,84,1,5,63
21,65,6,98,1,4,64
24,68,8,56,3,1,67
21,84,6,52,1,2,65
19,63,7,94,1,3,64
18,94,7,82,3,2,70
11,98,9,82,1,3,68
16,70,8,98,2,3,65
17,78,6,88,1,3,68
26,61,6,70,2,3,64
22,86,7,72,3,2,68
9,77,5,57,2,3,63
22,71,7,65,1,4,64
18,68,7,72,0,3,64
16,86,8,63,2,4,67
24,77,8,96,0,3,67
26,67,7,51,2,4,66
26,88,5,79,1,4,72
15,83,5,89,1,2,65
18,94,6,87,1,4,71
22,65,8,82,2,1,66
26,91,8,71,0,3,68
17,87,7,96,1,5,70
19,65,10,66,0,3,62
13,88,9,88,2,4,68
13,78,9,96,2,3,67
25,98,8,56,0,3,71
28,66,8,97,0,2,68
20,86,8,89,1,3,69
26,75,4,81,3,2,70
22,98,5,69,1,4,69
16,73,7,95,1,4,65
22,98,7,52,3,3,70
29,96,7,72,1,3,71
20,71,7,88,1,4,65
29,92,4,91,2,1,72
4,100,8,60,0,4,69
25,70,7,52,1,3,66
21,77,7,90,4,3,68
18,81,8,71,0,3,65
21,72,5,57,1,5,64
8,61,7,54,1,3,60
19,69,7,82,1,2,65
22,71,6,79,1,3,66
29,78,4,93,5,3,74
17,67,5,52,2,3,62
15,95,7,93,2,4,70
17,88,7,94,0,3,69
25,63,7,72,3,4,67
22,86,6,54,2,0,64
17,86,5,97,3,3,71
23,98,7,54,0,3,68
21,60,7,80,0,4,64
26,70,8,75,1,4,63
16,97,6,92,0,4,71
18,97,4,75,0,3,69
18,89,4,73,3,2,100
11,91,6,94,3,3,68
22,64,7,98,1,3,62
22,81,7,77,2,3,68
20,69,6,73,2,3,66
19,67,5,92,0,3,64
12,92,4,92,2,3,67
17,65,8,66,1,4,65
18,79,7,79,0,3,65
15,98,6,58,0,3,69
19,67,5,82,1,3,63
22,99,6,92,3,4,72
31,100,7,59,2,5,76
21,82,7,66,3,3,69
22,67,7,72,3,2,67
20,73,9,92,2,3,69
8,77,6,87,0,2,63
20,72,9,66,3,3,67
20,71,7,62,2,5,66
35,99,7,85,2,2,79
19,66,8,74,1,3,64
22,89,6,80,1,3,73
20,60,7,82,2,4,63
13,84,5,78,1,2,65
27,97,8,81,0,5,73
25,72,8,94,2,4,70
25,67,9,93,2,3,68
15,86,7,57,1,3,65
28,89,9,79,0,1,71
12,88,6,72,2,2,64
24,73,8,64,4,3,68
33,70,6,82,1,4,69
14,98,7,76,0,4,69
17,97,8,89,1,4,69
21,78,10,55,1,2,67
17,94,8,65,4,6,68
11,78,8,51,2,3,64
20,77,6,87,0,4,66
14,66,7,96,3,3,63
23,77,7,79,0,2,66
14,81,9,81,1,3,66
29,61,7,52,3,3,67
15,78,9,75,1,1,65
18,91,5,76,1,3,68
25,87,9,52,1,2,68
13,85,6,89,0,1,65
21,96,8,64,2,0,71
28,61,6,86,1,3,65
10,82,8,70,3,1,64
21,91,6,100,0,2,72
22,82,9,61,2,2,65
25,73,8,53,0,5,66
13,65,6,99,0,4,61
12,96,8,62,2,3,68
23,79,8,82,3,3,69
22,95,6,69,1,3,72
22,83,5,82,2,3,71
22,87,5,80,2,3,70
16,92,5,85,1,2,68
21,86,5,51,2,2,67
22,76,8,92,1,4,68
16,81,8,74,3,2,68
31,92,4,76,2,4,72
23,75,6,71,0,2,65
13,76,5,99,2,4,66
24,64,8,90,0,3,65
14,97,6,66,2,3,67
25,64,5,89,2,4,66
27,86,7,72,1,4,69
15,77,8,94,0,3,66
26,76,6,52,4,3,69
22,87,7,68,0,2,67
25,63,6,71,1,3,66
31,84,9,87,2,3,71
19,91,6,59,5,4,70
15,93,6,64,2,4,71
15,67,7,86,1,3,66
15,96,7,54,3,2,67
20,86,8,60,1,4,66
22,95,9,88,0,2,72
22,79,9,94,1,3,68
25,82,6,86,3,3,69
20,97,7,76,2,3,71
29,96,9,55,0,2,70
18,78,9,91,2,4,67
36,71,6,56,2,2,69
24,76,8,69,2,1,65
15,76,8,53,1,4,65
14,71,8,85,2,4,64
23,71,9,75,1,2,63
19,94,5,95,3,2,69
24,63,6,57,1,5,64
23,87,8,91,0,3,72
20,67,7,76,0,4,63
15,74,4,68,3,3,64
11,62,5,82,3,4,64
17,71,8,90,5,1,67
25,91,8,72,2,0,71
21,95,5,62,1,4,70
13,69,9,96,0,4,61
21,79,7,66,2,4,67
22,79,5,100,4,3,72
15,95,6,88,1,5,66
21,91,5,84,1,2,70
20,81,6,51,3,4,67
13,87,4,72,2,3,67
22,94,7,75,2,2,71
23,60,8,69,1,4,66
26,76,5,57,1,4,68
26,96,7,68,3,3,74
12,90,6,54,1,3,64
14,82,8,65,1,3,65
23,81,4,54,1,3,66
23,74,8,88,0,3,66
23,81,4,84,2,5,68
43,86,7,97,2,1,78
23,77,6,69,1,2,67
27,89,6,89,3,3,74
26,94,5,79,1,2,74
24,66,9,82,1,2,62
18,78,5,77,2,4,66
25,76,5,89,3,3,69
15,87,10,52,2,3,68
19,70,7,54,0,2,89
17,86,5,55,2,4,66
20,95,7,64,2,3,68
34,77,7,80,0,3,69
9,96,4,82,0,4,67
24,100,6,86,2,5,75
10,64,7,64,0,4,60
17,69,9,83,2,4,66
27,98,7,56,1,3,73
20,98,7,50,1,2,68
14,64,6,85,0,3,62
16,61,9,86,2,2,62
24,66,8,81,1,4,65
16,100,8,63,2,3,69
21,67,7,96,3,2,64
20,80,5,94,0,4,67
16,94,9,76,0,2,70
33,61,7,99,2,3,70
24,84,7,65,3,3,69
8,71,8,75,0,3,61
21,94,7,96,0,2,69
16,71,5,73,1,0,63
25,87,7,74,0,4,67
15,87,4,54,1,6,65
19,69,7,61,3,4,66
23,61,9,58,4,2,63
25,76,4,78,2,3,68
13,72,7,66,0,4,65
18,92,8,54,1,3,67
17,92,8,75,2,3,68
16,78,6,83,0,3,64
31,84,5,87,0,3,71
22,84,6,92,0,5,69
12,93,9,74,1,3,67
26,77,4,70,2,3,65
33,71,5,84,1,2,68
26,71,6,51,1,3,67
11,81,6,82,3,4,67
17,78,7,70,2,3,66
28,78,9,73,2,4,70
16,64,5,65,3,4,65
23,89,7,56,4,4,69
25,69,7,70,1,4,65
14,68,6,65,1,3,63
20,77,5,98,2,2,67
1,69,6,97,1,3,61
14,83,6,82,0,2,65
18,75,8,95,1,2,66
13,78,8,88,0,3,66
30,81,5,67,1,1,69
11,68,6,80,2,3,63
17,66,6,61,1,6,65
21,95,10,84,0,4,67
29,77,7,52,2,3,69
11,76,5,92,4,2,65
27,61,6,79,1,3,65
20,80,6,53,0,2,65
14,82,8,94,2,5,67
23,82,8,94,1,2,66
21,88,7,93,4,3,72
16,67,7,89,3,3,66
20,70,7,84,2,4,65
18,92,7,70,1,3,69
21,98,4,57,2,2,68
24,65,7,64,1,1,64
30,80,6,67,3,4,69
13,69,5,68,0,1,59
33,62,10,78,0,3,68
8,73,7,60,0,3,60
